city_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
145,Yellowknife,CA,62.456,-114.3525,-3.59,96,100,6.02,overcast clouds
146,Iqaluit,CA,63.7506,-68.5145,-30.37,97,100,0.89,overcast clouds
147,Hong Kong,HK,22.2855,114.1577,66.18,90,100,10.0,overcast clouds
148,Port Elizabeth,ZA,-33.918,25.5701,82.69,51,0,3.44,clear sky
149,Yaan,NG,7.3833,8.5667,74.62,19,28,6.04,scattered clouds
150,Tabuk,PH,17.4189,121.4443,75.13,86,96,5.17,overcast clouds
151,São Bento do Sul,BR,-26.2503,-49.3786,64.24,96,80,1.66,broken clouds
152,Tongliao,CN,43.6125,122.2653,25.41,78,4,6.51,clear sky
153,Oneonta,US,42.4529,-75.0638,19.83,92,100,4.41,overcast clouds
154,Ormara,PK,25.2088,64.6357,72.57,75,0,8.93,clear sky
155,Chokurdakh,RU,70.6333,147.9167,-41.66,99,100,3.49,overcast clouds
156,Cranbrook,CA,49.4999,-115.7688,23.85,95,25,4.61,scattered clouds
157,Cedral,MX,23.8,-100.7333,54.32,75,84,4.29,broken clouds
158,Oktyabr'skiy,RU,54.4815,53.471,20.05,93,100,3.47,overcast clouds
159,Aksu,CN,41.1231,80.2644,30.47,42,100,3.89,overcast clouds
160,Saýat,TM,38.7839,63.8803,45.05,47,74,7.92,broken clouds
161,Ancud,CL,-41.8697,-73.8203,51.33,91,0,2.13,clear sky
162,Mar del Plata,AR,-38.0023,-57.5575,63.88,78,75,21.99,broken clouds
163,Makkah al Mukarramah,SA,21.4267,39.8261,75.24,28,4,0.6,clear sky
164,Coahuayana Viejo,MX,18.7333,-103.6833,69.19,60,100,4.14,overcast clouds
165,Ugoofaaru,MV,5.6667,73.0,80.71,72,75,10.65,broken clouds
166,Port Blair,IN,11.6667,92.75,84.24,74,40,14.97,scattered clouds
167,Tomatlán,MX,19.9333,-105.25,65.46,75,100,2.93,overcast clouds
168,Hofn,IS,64.2539,-15.2082,33.94,99,100,31.74,heavy snow
169,Fort Saint James,CA,54.4333,-124.25,32.56,94,100,5.88,overcast clouds
170,Marzuq,YE,14.4,46.4667,68.86,32,33,4.83,scattered clouds
171,Sitka,US,57.0531,-135.33,42.69,81,100,3.44,light rain
172,Zabul Province,AF,32.25,67.25,40.39,29,0,5.53,clear sky
173,Sanghar,PK,26.0466,68.9481,69.87,18,0,6.44,clear sky
174,Paamiut,GL,61.994,-49.6678,11.1,91,100,36.01,snow
175,Ojinaga,MX,29.5667,-104.4167,53.42,35,75,14.97,broken clouds
176,Morocelí,HN,14.1167,-86.8667,67.03,96,84,4.07,broken clouds
177,Mitsamiouli,KM,-11.3847,43.2844,82.58,78,64,13.51,moderate rain
178,Pontianak,ID,-0.0333,109.3333,87.78,62,75,4.61,broken clouds
179,Vanderhoof,CA,54.0166,-124.0198,32.47,90,100,5.53,overcast clouds
180,Merauke,ID,-8.4667,140.3333,85.41,68,82,9.01,broken clouds
181,Upernavik,GL,72.7868,-56.1549,-11.88,98,100,6.69,overcast clouds
182,Thompson,CA,55.7435,-97.8558,0.21,95,100,9.51,overcast clouds
183,Feijó,BR,-8.1642,-70.3536,71.22,99,100,1.86,overcast clouds
184,Vardø,NO,70.3705,31.1107,23.2,82,73,19.3,broken clouds
185,Nadym,RU,65.5333,72.5167,-4.9,97,39,9.89,scattered clouds
186,Birao,CF,10.2849,22.7882,68.25,15,94,14.23,overcast clouds
187,Buraidah,SA,26.326,43.975,56.53,36,0,2.01,clear sky
188,Cabedelo,BR,-6.9811,-34.8339,75.87,74,33,7.16,scattered clouds
189,Sunnyside,US,46.3237,-120.0087,35.35,93,0,0.0,clear sky
190,Albox,ES,37.3886,-2.1495,43.25,76,0,4.65,clear sky
191,Papara,BR,-3.9839,-38.7273,80.73,93,27,2.15,scattered clouds
192,Safi,MA,32.2994,-9.2372,58.89,70,23,10.58,few clouds
193,Novoaleksandrovsk,RU,45.4948,41.2207,33.15,89,98,9.26,light snow
194,Severo-Kuril'sk,RU,50.6789,156.125,30.02,86,100,1.86,light snow
195,Provideniya,RU,64.3833,-173.3,-11.76,89,12,8.55,few clouds
196,Mwene-Ditu,CD,-7.0,23.45,68.88,92,100,3.74,light rain
197,Boyolangu,ID,-8.1181,111.8935,80.91,81,97,10.69,overcast clouds
198,Saldanha,ZA,-33.0117,17.9442,65.25,81,50,6.85,scattered clouds
199,Avigliana,IT,45.0771,7.3986,46.49,57,10,8.46,clear sky
200,Tacoronte,ES,28.4769,-16.4102,62.2,80,20,11.01,few clouds
201,Big Bend,SZ,-26.8167,31.9333,78.8,65,42,7.92,scattered clouds
202,Visnes,NO,59.3556,5.2242,40.89,93,75,19.57,broken clouds
203,Marawi,PH,7.9986,124.2928,73.65,64,39,7.61,scattered clouds
204,Ati,TD,13.2154,18.3353,67.89,14,0,13.44,clear sky
205,Kaitangata,NZ,-46.2817,169.8464,58.93,82,1,5.55,clear sky
206,Poum,NC,-20.2333,164.0167,81.12,87,100,29.06,light rain
207,Souillac,MU,-20.5167,57.5167,85.35,74,40,11.5,scattered clouds
208,Tiksi,RU,71.6872,128.8694,-17.82,98,100,7.05,overcast clouds
209,Laguna,US,38.421,-121.4238,54.77,80,0,3.44,clear sky
210,Ponta do Sol,PT,32.6667,-17.1,63.23,66,13,10.74,few clouds
211,City of San Pedro,PH,14.35,121.0167,84.31,70,99,16.98,overcast clouds
